id,domain,area,proposition
contested_social_science__1,contested_social_science,Economics,"In the United States, a 20% increase in a binding minimum wage reduces employment among workers without a high school diploma by more than 2 percentage points within two years."
contested_social_science__11,contested_social_science,Economics,"In the United States, after controlling for occupation, hours, experience, and industry, the gender wage gap is less than 5%."
contested_social_science__13,contested_social_science,Economics,Doubling sustained foreign aid per capita raises annual GDP growth in low-income recipient countries by at least 0.5 percentage points over the following decade.
contested_social_science__15,contested_social_science,Economics,A universal 10% tariff on all US imports would reduce US real GDP by at least 1% within three years of implementation.
contested_social_science__17,contested_social_science,Psychology,Daily social media use causally increases adolescent anxiety and depression scores by more than 0.2 standard deviations on average compared to non-use.
contested_social_science__19,contested_social_science,Psychology,Performance on self-control tasks declines by more than 10% after subjects complete an earlier depleting task.
contested_social_science__21,contested_social_science,Psychology,Implicit Association Test scores correlate with observed discriminatory behavior at r > 0.2.
contested_social_science__23,contested_social_science,Psychology,"On adult false-belief and social-reasoning tasks commonly used to measure theory of mind, frontier AI models perform at least as well as the average adult human under matched testing conditions."
contested_social_science__25,contested_social_science,Psychology,"When experimental findings from top social and cognitive psychology journals published from 2000 to 2015 are subjected to large preregistered multi-lab replications, at least half replicate with the same sign and p < 0.05."
contested_social_science__27,contested_social_science,Psychology,Cognitive behavioral therapy produces larger sustained reductions in symptoms of generalized anxiety disorder at 12-month follow-up than pharmacotherapy with SSRIs.
contested_social_science__29,contested_social_science,Psychology,Grit scores explain more than 5% of variance in achievement outcomes beyond what IQ explains.
contested_social_science__3,contested_social_science,Economics,Cities that implement rent control see at least a 10% reduction in rental housing supply within a decade.
contested_social_science__31,contested_social_science,Sociology,"In the United States, children raised primarily in single-parent households complete at least 0.5 fewer years of education on average than children raised in two-parent households, controlling for parental income."
contested_social_science__33,contested_social_science,Sociology,"In the United States, residential racial segregation as measured by the dissimilarity index has declined by less than 10 percentage points between 1990 and 2020."
contested_social_science__35,contested_social_science,Sociology,The percentage of US adults identifying as religiously unaffiliated will exceed 35% in the 2030 General Social Survey.
contested_social_science__37,contested_social_science,Sociology,"By 2030, more than 40% of US adults who identify with a major political party will say they would be unhappy if their child married someone from the other major party."
contested_social_science__39,contested_social_science,Sociology,"By 2030, more than 15% of US adults will report having zero close friends in nationally representative surveys."
contested_social_science__41,contested_social_science,Criminology,"In the United States, more than half of incarceration's crime-reducing effect comes from offenders being unable to commit crimes while imprisoned, rather than from deterrence or rehabilitation."
contested_social_science__43,contested_social_science,Criminology,Increasing the size of a municipal police force by 10% reduces violent crime in that municipality by at least 5%.
contested_social_science__45,contested_social_science,Criminology,The phase-out of leaded gasoline explains more than 25% of the decline in violent crime in the United States between 1990 and 2014.
contested_social_science__47,contested_social_science,Criminology,Focused deterrence programs aimed at the small number of people at highest risk of serious violence reduce shootings or homicides in treated areas by at least 10%.
contested_social_science__49,contested_social_science,Criminology,Hot-spots policing reduces violent crime in small targeted places by more than 15% without shifting most of the prevented crime to nearby areas.
contested_social_science__5,contested_social_science,Economics,"In the United States, a 10% increase in low-skilled immigration reduces wages for native non-college workers by more than 2% within five years."
contested_social_science__51,contested_social_science,Education,Reducing elementary school class sizes from 25 to 15 students increases average test scores by more than 0.2 standard deviations.
contested_social_science__53,contested_social_science,Education,"For eligible U.S. children, participating in Head Start increases the probability of completing high school by at least 3 percentage points."
contested_social_science__55,contested_social_science,Education,Providing students with regular access to a frontier AI personalized tutor for one academic year increases average test scores by more than 0.2 standard deviations compared to traditional instruction alone.
contested_social_science__57,contested_social_science,Education,Banning student smartphone use during the school day increases average student test scores by more than 0.1 standard deviations.
contested_social_science__59,contested_social_science,Education,"For the median U.S. bachelor's-degree recipient, completing the degree increases the present value of lifetime earnings by more than $250,000 after subtracting tuition and foregone earnings."
contested_social_science__61,contested_social_science,Political Science,The number of countries globally classified as 'liberal democracies' by the V-Dem Institute will be strictly lower in its 2030 annual report than in its 2025 report.
contested_social_science__63,contested_social_science,Political Science,Democracies led by elected populist leaders are at least twice as likely as other democracies to experience a decline of 0.1 or more on V-Dem's Liberal Democracy Index within five years.
contested_social_science__65,contested_social_science,Political Science,Regular consumption of highly partisan political media causes an increase in affective polarization of at least 0.3 standard deviations over a 4-year period.
contested_social_science__67,contested_social_science,Political Science,"In experimental settings, highly personalized AI-generated political messaging achieves persuasion effects at least 50% larger than standard demographic-targeted human messaging."
contested_social_science__69,contested_social_science,Political Science,Economic sanctions led by the United States achieve their primary stated policy objective in less than 20% of cases when targeting autocratic regimes.
contested_social_science__7,contested_social_science,Economics,Declining unionization explains more than 20% of the rise in wage inequality in the United States since 1980.
contested_social_science__71,contested_social_science,Public Health,Each 50g increase in daily sugar consumption is associated with at least 1 kg/m² higher BMI on average.
